Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count	stress_pattern
about	185206	8321	179962	8313	3631.49	5.2677	99.2	3.9202	2.0	01
going	108288	8238	106853	8235	2123.29	5.0346	98.21	3.9159	2.0	10
something	76508	8231	69678	8203	1500.16	4.8837	98.13	3.9155	2.0	10
over	67488	8171	63199	8142	1323.29	4.8292	97.41	3.9123	2.0	10
never	69490	8158	61882	8103	1362.55	4.8419	97.26	3.9116	2.0	10
only	55269	8118	48650	8048	1083.71	4.7425	96.78	3.9095	2.0	10
our	71425	8113	63788	8043	1400.49	4.8539	96.72	3.9092	2.0	10
little	73766	8072	69783	8051	1446.39	4.8679	96.23	3.907	2.0	10
any	56068	8049	49853	7974	1099.37	4.7487	95.96	3.9058	2.0	10
really	76508	7956	63382	7861	1500.16	4.8837	94.85	3.9007	2.0	10
doing	52492	7954	51900	7950	1029.25	4.7201	94.83	3.9006	2.0	10
even	44672	7931	38346	7775	875.92	4.65	94.55	3.8994	2.0	10
sorry	59566	7923	43411	7595	1167.96	4.775	94.46	3.8989	2.0	10
before	40501	7914	37297	7815	794.14	4.6075	94.35	3.8985	2.0	01
because	54622	7910	35833	7430	1071.02	4.7374	94.3	3.8982	2.0	01
people	56252	7889	50482	7791	1102.98	4.7501	94.05	3.8971	2.0	10
into	43074	7876	42661	7868	844.59	4.6342	93.9	3.8964	2.0	01
very	63304	7863	54294	7709	1241.25	4.8014	93.74	3.8956	2.0	10
again	40428	7852	39144	7815	792.71	4.6067	93.61	3.895	2.0	01
nothing	43534	7851	29680	7375	853.61	4.6388	93.6	3.895	2.0	10
better	40494	7814	37426	7756	794.0	4.6074	93.16	3.8929	2.0	10
other	37505	7738	36688	7709	735.39	4.5741	92.25	3.8887	2.0	10
Maybe	47249	7737	18779	6368	926.45	4.6744	92.24	3.8886	2.0	10
after	34812	7645	27459	7337	682.59	4.5417	91.14	3.8834	2.0	10
away	37276	7580	36915	7567	730.9	4.5714	90.37	3.8797	2.0	01
around	37573	7563	37074	7548	736.73	4.5749	90.16	3.8788	2.0	01
ever	36170	7513	34138	7436	709.22	4.5584	89.57	3.8759	2.0	10
always	33418	7495	31224	7415	655.25	4.524	89.35	3.8748	2.0	12
believe	31882	7412	30102	7314	625.14	4.5036	88.36	3.87	2.0	01
coming	26878	7173	25061	7082	527.02	4.4294	85.52	3.8558	2.0	10
enough	25568	7159	23968	7057	501.33	4.4077	85.35	3.8549	2.0	01
getting	24719	7120	23513	7034	484.69	4.393	84.88	3.8525	2.0	10
being	24781	7083	23724	7019	485.9	4.3941	84.44	3.8503	2.0	10
wanted	25616	7039	25370	7013	502.27	4.4085	83.92	3.8476	2.0	10
gonna	101804	7021	100835	7010	1996.16	5.0078	83.7	3.8465	2.0	10
Listen	27784	6965	12674	5369	544.78	4.4438	83.04	3.843	2.0	10
happened	24994	6952	24907	6940	490.08	4.3979	82.88	3.8422	2.0	10
talking	25385	6952	24944	6924	497.75	4.4046	82.88	3.8422	2.0	10
looking	22066	6841	20932	6743	432.67	4.3437	81.56	3.8352	2.0	10
trying	22849	6841	22042	6764	448.02	4.3589	81.56	3.8352	2.0	10
yourself	22151	6802	22092	6799	434.33	4.3454	81.09	3.8327	2.0	01
someone	22752	6749	18537	6387	446.12	4.357	80.46	3.8293	2.0	12
today	22124	6570	19725	6367	433.8	4.3449	78.33	3.8176	2.0	01
without	18087	6512	16187	6282	354.65	4.2574	77.63	3.8138	2.0	01
haven	18844	6421	17293	6253	369.49	4.2752	76.55	3.8077	2.0	10
Hello	29857	6405	3228	2089	585.43	4.4751	76.36	3.8066	2.0	01
ready	19778	6398	16707	6105	387.8	4.2962	76.28	3.8061	2.0	10
pretty	20003	6344	17430	6076	392.22	4.3011	75.63	3.8024	2.0	10
myself	17470	6328	17347	6313	342.55	4.2423	75.44	3.8013	2.0	21
Okay	102320	6322	40017	5711	2006.27	5.01	75.37	3.8009	2.0	21
many	18331	6297	17336	6219	359.43	4.2632	75.07	3.7992	2.0	10
matter	18900	6242	18687	6217	370.59	4.2765	74.42	3.7954	2.0	10
Mr	60098	6159	191	78	1178.39	4.7789	73.43	3.7896	2.0	10
until	15426	6129	13619	5812	302.47	4.1883	73.07	3.7875	2.0	01
minute	19252	6066	19204	6057	377.49	4.2845	72.32	3.783	2.0	10
morning	22389	6055	19916	5904	439.0	4.3501	72.19	3.7822	2.0	10
Excuse	18773	6042	4153	2872	368.1	4.2736	72.03	3.7813	2.0	01
later	14889	5951	13588	5738	291.94	4.1729	70.95	3.7747	2.0	10
woman	22166	5925	20418	5744	434.63	4.3457	70.64	3.7728	2.0	10
alone	15735	5920	15212	5872	308.53	4.1969	70.58	3.7724	2.0	01
having	14752	5879	13957	5734	289.25	4.1689	70.09	3.7694	2.0	10
problem	16833	5872	16547	5840	330.06	4.2262	70.0	3.7689	2.0	10
ago	14592	5851	14580	5847	286.12	4.1641	69.75	3.7673	2.0	01
open	16341	5847	12221	5286	320.41	4.2133	69.71	3.767	2.0	10
saying	14874	5819	14733	5803	291.65	4.1725	69.37	3.7649	2.0	10
tonight	21047	5748	18906	5569	412.69	4.3232	68.53	3.7596	2.0	01
second	14513	5734	13210	5498	284.57	4.1618	68.36	3.7585	2.0	10
worry	14638	5727	14549	5716	287.02	4.1655	68.28	3.758	2.0	10
thinking	14353	5707	14047	5674	281.43	4.157	68.04	3.7565	2.0	10
happen	12968	5673	12938	5668	254.27	4.1129	67.63	3.7539	2.0	10
