Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count	stress_pattern
anything	46270	7929	41538	7827	907.25	4.6653	94.53	3.8993	3.0	102
everything	33399	7368	26025	7056	654.88	4.5237	87.84	3.8674	3.0	102
another	25970	7327	23107	7130	509.22	4.4145	87.35	3.865	3.0	010
every	28007	7209	22413	6795	549.16	4.4473	85.94	3.8579	3.0	100
remember	27666	7110	21458	6506	542.47	4.442	84.76	3.8519	3.0	010
understand	24605	6811	23680	6763	482.45	4.391	81.2	3.8333	3.0	201
together	19553	6450	19079	6401	383.39	4.2912	76.9	3.8096	3.0	010
idea	18311	6359	18296	6357	359.04	4.2627	75.81	3.8035	3.0	010
already	16246	6350	15769	6297	318.55	4.2108	75.7	3.8028	3.0	010
somebody	17571	5814	12595	5100	344.53	4.2448	69.31	3.7645	3.0	120
probably	14323	5753	11791	5279	280.84	4.1561	68.59	3.76	3.0	100
tomorrow	17134	5661	14712	5403	335.96	4.2339	67.49	3.753	3.0	012
whatever	12584	5573	7156	4102	246.75	4.0999	66.44	3.7462	3.0	210
anyone	13018	5562	11462	5272	255.25	4.1146	66.31	3.7453	3.0	102
exactly	12607	5481	9921	4914	247.2	4.1006	65.34	3.7389	3.0	010
anyway	12164	5348	8066	4344	238.51	4.0851	63.76	3.7283	3.0	102
family	18067	5340	17344	5255	354.25	4.2569	63.66	3.7276	3.0	100
Nobody	13599	5143	6710	3537	266.65	4.1335	61.31	3.7113	3.0	122
everyone	12324	5106	8565	4307	241.65	4.0908	60.87	3.7082	3.0	102
beautiful	14266	4973	12867	4784	279.73	4.1543	59.29	3.6967	3.0	100
important	10587	4878	10506	4865	207.59	4.0248	58.15	3.6883	3.0	010
different	10686	4860	10327	4819	209.53	4.0289	57.94	3.6867	3.0	100
anymore	9597	4514	9558	4506	188.18	3.9822	53.81	3.6547	3.0	201
serious	7566	4006	7398	3965	148.35	3.8789	47.76	3.6028	3.0	100
finally	5989	3591	4935	3157	117.43	3.7774	42.81	3.5553	3.0	100
possible	5816	3373	5634	3317	114.04	3.7647	40.21	3.5281	3.0	100
wonderful	8364	3362	7260	3088	164.0	3.9225	40.08	3.5267	3.0	100
company	7507	3283	6473	3073	147.2	3.8755	39.14	3.5164	3.0	100
anywhere	4501	3133	4189	2987	88.25	3.6534	37.35	3.4961	3.0	102
certainly	6067	3021	4411	2566	118.96	3.783	36.02	3.4803	3.0	100
yesterday	4935	3020	4221	2724	96.76	3.6934	36.0	3.4802	3.0	102
attention	5032	3000	3854	2620	98.67	3.7018	35.77	3.4773	3.0	010
gentlemen	7874	2943	5922	2566	154.39	3.8963	35.09	3.4689	3.0	100
decided	4521	2942	4457	2908	88.65	3.6553	35.07	3.4688	3.0	010
personal	4675	2828	4488	2762	91.67	3.6699	33.71	3.4516	3.0	100
terrible	4795	2810	4452	2699	94.02	3.6809	33.5	3.4489	3.0	100
happening	4618	2792	4601	2789	90.55	3.6645	33.29	3.4461	3.0	100
interesting	4421	2753	3822	2473	86.69	3.6456	32.82	3.44	3.0	100
forever	4529	2737	4119	2648	88.8	3.6561	32.63	3.4374	3.0	010
imagine	4133	2727	3427	2366	81.04	3.6164	32.51	3.4358	3.0	010
completely	4303	2679	4021	2561	84.37	3.6339	31.94	3.4281	3.0	010
interested	4374	2669	4309	2644	85.76	3.641	31.82	3.4265	3.0	100
entire	4070	2627	4061	2623	79.8	3.6097	31.32	3.4196	3.0	010
hospital	6334	2611	5727	2472	124.2	3.8017	31.13	3.417	3.0	120
afternoon	4666	2597	4410	2505	91.49	3.669	30.96	3.4146	3.0	201
difference	4066	2593	4045	2583	79.73	3.6093	30.91	3.414	3.0	100
especially	3428	2459	1966	1535	67.22	3.5352	29.32	3.3909	3.0	010
history	4280	2416	3908	2307	83.92	3.6315	28.8	3.3833	3.0	100
dangerous	3817	2386	3676	2346	74.84	3.5818	28.45	3.3779	3.0	100
amazing	4167	2369	3656	2160	81.71	3.6199	28.24	3.3747	3.0	010
wondering	3231	2318	3165	2285	63.35	3.5095	27.63	3.3653	3.0	100
totally	4377	2286	3858	2141	85.82	3.6413	27.25	3.3593	3.0	100
listening	3205	2252	3098	2192	62.84	3.506	26.85	3.3528	3.0	100
beginning	3219	2242	3142	2207	63.12	3.5079	26.73	3.3508	3.0	010
position	3676	2191	3613	2171	72.08	3.5655	26.12	3.3408	3.0	010
accident	4146	2180	4061	2166	81.29	3.6177	25.99	3.3387	3.0	100
area	3821	2159	3663	2099	74.92	3.5823	25.74	3.3345	3.0	100
idiot	3377	2147	3112	2032	66.22	3.5287	25.6	3.332	3.0	100
difficult	3068	2118	3001	2096	60.16	3.487	25.25	3.3261	3.0	100
officer	5265	2026	3313	1580	103.24	3.7215	24.15	3.3069	3.0	100
favorite	3032	1974	2924	1950	59.45	3.4819	23.53	3.2956	3.0	100
suddenly	2854	1967	2176	1614	55.96	3.4556	23.45	3.294	3.0	100
consider	2676	1965	2273	1710	52.47	3.4276	23.43	3.2936	3.0	010
ourselves	2676	1934	2659	1931	52.47	3.4276	23.06	3.2867	3.0	001
