Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count
confidentiality	95	74	87	69	1.86	1.9823	0.88	1.8751	7.0
homosexuality	49	35	45	33	0.96	1.699	0.42	1.5563	7.0
individuality	43	33	40	31	0.84	1.6435	0.39	1.5315	7.0
radioactivity	41	29	38	28	0.8	1.6232	0.35	1.4771	7.0
anesthesiologist	27	24	24	21	0.53	1.4472	0.29	1.3979	7.0
telecommunications	26	19	20	16	0.51	1.4314	0.23	1.301	7.0
autobiographical	22	18	20	16	0.43	1.3617	0.21	1.2788	7.0
inevitability	18	15	16	13	0.35	1.2788	0.18	1.2041	7.0
meteorological	14	13	13	12	0.27	1.1761	0.15	1.1461	7.0
individualism	13	12	13	12	0.25	1.1461	0.14	1.1139	7.0
socioeconomic	8	8	8	8	0.16	0.9542	0.1	0.9542	7.0
unpredictability	9	8	8	8	0.18	1.0	0.1	0.9542	7.0
epidemiology	7	7	6	6	0.14	0.9031	0.08	0.9031	7.0
irresponsibility	8	7	8	7	0.16	0.9542	0.08	0.9031	7.0
cardiopulmonary	6	6	5	5	0.12	0.8451	0.07	0.8451	7.0
incompatibility	7	6	7	6	0.14	0.9031	0.07	0.8451	7.0
uncharacteristically	6	6	6	6	0.12	0.8451	0.07	0.8451	7.0
constitutionality	6	5	6	5	0.12	0.8451	0.06	0.7782	7.0
maneuverability	6	5	6	5	0.12	0.8451	0.06	0.7782	7.0
unceremoniously	5	5	4	4	0.1	0.7782	0.06	0.7782	7.0
editorializing	5	4	5	4	0.1	0.7782	0.05	0.699	7.0
electrocardiogram	4	4	4	4	0.08	0.699	0.05	0.699	7.0
Anesthesiology	9	3	4	1	0.18	1.0	0.04	0.6021	7.0
electromagnetism	3	3	2	2	0.06	0.6021	0.04	0.6021	7.0
environmentalism	3	3	2	2	0.06	0.6021	0.04	0.6021	7.0
Epidemiologist	3	3	1	1	0.06	0.6021	0.04	0.6021	7.0
inaccessibility	3	3	3	3	0.06	0.6021	0.04	0.6021	7.0
industrialization	3	3	3	3	0.06	0.6021	0.04	0.6021	7.0
telecommunication	3	3	2	2	0.06	0.6021	0.04	0.6021	7.0
vegetarianism	3	3	3	3	0.06	0.6021	0.04	0.6021	7.0
individualistic	2	2	2	2	0.04	0.4771	0.02	0.4771	7.0
intellectualism	2	2	2	2	0.04	0.4771	0.02	0.4771	7.0
miniaturization	9	2	7	2	0.18	1.0	0.02	0.4771	7.0
misidentification	2	2	1	1	0.04	0.4771	0.02	0.4771	7.0
oversimplification	2	2	2	2	0.04	0.4771	0.02	0.4771	7.0
unavailability	2	2	2	2	0.04	0.4771	0.02	0.4771	7.0
Americanization	1	1	0	0	0.02	0.301	0.01	0.301	7.0
Anesthesiologists	1	1	0	0	0.02	0.301	0.01	0.301	7.0
arteriosclerosis	1	1	1	1	0.02	0.301	0.01	0.301	7.0
contemporaneously	1	1	1	1	0.02	0.301	0.01	0.301	7.0
Cytomegalovirus	1	1	0	0	0.02	0.301	0.01	0.301	7.0
epidemiologists	1	1	1	1	0.02	0.301	0.01	0.301	7.0
hypersensitivity	1	1	1	1	0.02	0.301	0.01	0.301	7.0
institutionalizing	1	1	1	1	0.02	0.301	0.01	0.301	7.0
interdisciplinary	1	1	1	1	0.02	0.301	0.01	0.301	7.0
ritualistically	1	1	1	1	0.02	0.301	0.01	0.301	7.0
superconductivity	2	1	2	1	0.04	0.4771	0.01	0.301	7.0
territorialism	1	1	1	1	0.02	0.301	0.01	0.301	7.0
